pl_name,pl_bmasse,pl_rade,pl_eqt,st_teff,sy_dist
Kepler-1137 b,5.48,2.2,1020.0,6807.0,921.778
Kepler-267 c,5.18,2.13,484.0,4258.0,264.993
HD 216520 b,10.26,3.18,,5103.0,19.552
TOI-2421 b,105.83685953,10.36830715,1534.0,5607.0,327.927
Kepler-242 b,7.32,2.61,742.0,5020.0,600.241
TOI-5076 b,16.14568308,3.48935569,550.0,4780.0,82.857
TOI-1453 c,2.95,2.224,819.8,4975.0,78.7415
TOI-4504 d,450.23572136,13.6,,5315.0,342.605
TOI-4137 b,457.67290608,13.57407563,1570.0,6202.0,334.993
K2-213 b,2.9,1.51398464,,5794.0,389.702
TOI-2458 c,10.22,3.18,,6005.0,112.958
DMPP-1 b,16.8,4.26,877.0,6196.0,62.5388
DMPP-1 c,10.94,3.31,1239.0,6196.0,62.5388
TOI-512 b,3.57,1.54,1009.0,5277.0,67.3975
Kepler-1577 b,1.51,1.13,1125.0,4862.0,510.029
HD 73344 d,810.46243785,13.2,,6148.0,35.26
Kepler-751 b,6.62,2.46,679.0,5387.0,760.43
Kepler-606 b,11.0,3.31,683.0,6161.0,1215.11
Kepler-1575 b,2.27,1.31,1312.0,5667.0,1246.92
TOI-561 d,13.33,2.615,600.0,5342.0,85.799
HD 207832 b,177.9848,14.2,,5726.0,58.9291
HD 102956 b,305.1168,13.8,,4985.0,121.89
WASP-132 c,6.26,1.841,1329.0,4686.0,122.91
Kepler-1490 b,9.48,3.04,348.0,5515.0,862.92
TOI-2364 b,71.51139158,8.60849718,1091.0,5306.0,219.614
TOI-4994 b,88.99195396,8.54124329,717.6,5640.0,329.304
HD 20794 d,4.8,2.04,388.0,5368.0,6.00278
Kepler-377 b,2.51,1.39,875.0,5949.0,823.804
EPIC 212499991 b,3.19,1.6,,4982.79,283.29
Kepler-227 c,9.48,3.04,443.0,5854.0,1083.06
Kepler-887 b,4.04,1.84,785.0,6194.0,886.588
GJ 3138 c,4.18,1.88,,3717.0,28.4712
TOI-2842 b,117.59651059,12.84549188,1471.0,5910.0,460.995
TOI-2977 b,533.95172376,13.15934334,1544.0,5691.0,
TOI-2583 A b,79.45710175,14.4595851,1456.0,5936.0,566.189
Kepler-1503 b,5.77,2.27,321.0,5069.0,1225.57
Kepler-1781 b,6.26,2.38091029,1003.0,5568.0,962.63
TOI-3023 b,197.05361234,16.43236571,1596.0,5760.0,389.916
Kepler-198 d,2.96,1.53,1562.0,5636.0,495.358
TOI-2133 b,6.21,2.37,798.0,4250.0,75.1973
LHS 1903 c,4.55,2.046,559.0,3664.0,35.6917
TOI-4504 b,7.71,2.691,1234.03,5315.0,342.605
HIP 948 b,6547.2651842,12.1,,4497.0,34.8523
Kepler-1204 b,9.53,3.05,448.0,5825.0,1175.22
TOI-2587 A b,69.28659273,12.07207221,1445.0,5760.0,373.675
Kepler-251 e,8.1,2.77,360.0,5526.0,924.625
Kepler-547 b,15.1,4.0,768.0,4828.0,378.972
Kepler-1828 b,5.13,2.11598626,799.0,5806.0,871.81
Kepler-1328 b,0.904,0.98,1214.0,5780.0,813.543
Kepler-874 b,14.7,3.94,560.0,6020.0,1082.16
HD 20794 f,5.82,2.28,,5368.0,6.00278
Gl 725 A b,2.78,1.48,,3433.0,3.5214
Kepler-32 b,1303.0,2.2,514.0,3900.0,323.847
Kepler-1150 b,1.04,1.02,1432.0,4754.0,358.518
ZTF J1230-2655 b,7024.0077947,13.78704626,,10000.0,186.69
TOI-3912 b,129.03833324,14.28024141,1512.0,5725.0,465.992
K2-104 b,3.86,1.79,798.0,3712.0,189.289
HD 65216 b,411.58985,13.6,,5612.0,35.1205
HD 65216 c,645.1949,13.4,,5612.0,35.1205
Kepler-1151 b,5.56,2.22,485.0,5470.0,682.436
TOI-2818 b,225.65816897,15.27784069,1376.0,5721.0,312.674
HIP 65407 c,249.17872,13.9,,5460.0,61.7804
Kepler-124 c,3.71,1.75,560.0,4984.0,420.046
TOI-2537 b,415.40172795,11.25381662,338.0,4870.0,184.986
Kepler-999 b,6.08,2.34,1355.0,6237.0,545.063
Oph 11 b,4449.62,12.3,2175.0,2375.0,136.16559197
K2-11 b,44.4,7.55,734.0,5433.0,329.309
HD 38283 b,127.132,14.0,,5981.0,38.0615
Kepler-518 b,5.1,2.11,839.0,5842.0,337.901
Kepler-265 d,6.76,2.49,554.0,5835.0,1280.25
HD 188015 b,476.72,13.6,,5746.0,50.6706
DMPP-1 d,4.72,2.02,1632.0,6196.0,62.5388
WASP-149 b,314.96795134,15.24421375,1855.0,5750.0,211.73
G 192-15 c,14.3,3.87,55.9,2999.0,9.53114
G 261-6 b,1.37,1.1,322.3,2907.0,10.6267
TOI-3493 b,8.97,3.22,1102.0,5844.0,96.7224
Kepler-24 e,26.2118,2.78,792.0,5897.0,1156.81
TOI-3807 b,330.54154328,18.49481816,1646.0,5772.0,421.745
Gl 410 b,8.4,2.83,,3842.0,11.9324
TOI-4463 A b,252.35575516,13.26022417,1395.0,5640.0,173.117
Kepler-797 b,5.35,2.17,605.0,5680.0,1315.26
HD 11755 b,1789.3829,12.8,,4312.0,235.045
KOI-351 b,2.27,1.31,1062.0,6080.0,848.254
Kepler-1793 b,13.8,3.79037518,713.0,5191.0,1189.88
Kepler-309 c,6.85,2.51,204.0,4713.0,544.568
HD 40307 c,1868.51320475,,696.0,4956.0,12.9363
HD 7199 b,3639.13526015,,,5371.0,36.1531
KMT-2019-BLG-0578L b,381.3940884,13.7,,,7300.0
KMT-2021-BLG-0736L b,21.0,4.86,,,7000.0
GJ 251 c,3.88,1.8,216.0,3342.0,5.58057
K2-200 b,2.43,1.3643987,,5233.0,184.131
Kepler-922 b,2.6,1.42,1876.0,5671.0,536.323
Kepler-1780 b,12.7,3.60600667,340.0,5403.0,790.516
Kepler-509 b,6.76,2.49,584.0,6060.0,332.443
GJ 649 b,81.99972901,10.8,,3734.0,10.3796
Kepler-813 b,5.22,2.14,817.0,5743.0,840.0
HD 222582 b,2660.2371,12.6,,5790.0,42.1586
Kepler-1551 b,7.56,2.66,722.0,6136.0,1463.72
Kepler-1352 b,0.64,0.89,1701.0,6118.0,670.829
Kepler-1422 b,4.74,2.02,833.0,6194.0,2465.84
GJ 849 c,314.65012293,13.8,,3467.0,8.80058
EPIC 206042996 b,3.53,1.7,,4114.0,451.769
HD 49674 b,31.783,6.2,,5602.0,43.0399
Kepler-26 d,1.24,1.07,652.0,4486.0,335.307
Kepler-229 d,14.2,3.85,439.0,5120.0,826.265
WASP-116 b,203.41018048,13.67495645,1414.0,6250.0,559.243
WASP-188 b,458.6263913,14.81827249,1666.0,6850.0,675.281
